Date,Open,High,Low,Close,Volume
2024-03-25,116.97,119.41,116.87,119.36,12103553
2024-03-26,119.63,120.4,118.19,119.93,11870043
2024-03-27,120.955,122.0262,120.0201,120.98,10782835
2024-03-28,121.25,123.74,121.2,122.36,15367421
2024-04-01,122.06,122.3999,120.78,121.53,8419727
2024-04-02,120.22,123.53,120.16,122.82,15517067
2024-04-03,122.27,123.6902,118.38,118.98,22480435
2024-04-04,119.22,120.19,116.96,117.09,13815399
2024-04-05,116.6,118.86,116.3,118.38,9653915
2024-04-08,118.02,118.52,116.82,117.35,6266011
2024-04-09,117.38,118.51,116.89,117.97,7455367
2024-04-10,116.6,117.56,116.37,117.19,6746282
2024-04-11,117.59,118.28,116.37,117.15,6559411
2024-04-12,116.39,116.7,113.73,114.01,12155166
2024-04-15,114.875,115.55,112.77,112.95,9637095
2024-04-16,112.82,114.5,112.52,113.88,9291419
2024-04-17,114,114.21,112.89,112.94,7378993
2024-04-18,113.18,114.25,112.19,112.43,8235636
2024-04-19,111.72,112.715,111.08,112.61,9407502
2024-04-22,113.1,113.64,111.75,111.99,6901689
2024-04-23,112.83,114.24,112.8,113.71,6839318
2024-04-24,113.14,114.18,113.14,113.92,6157230
2024-04-25,111.22,112.89,110.39,112.77,8045906
2024-04-26,111.85,113.0218,111.32,112.73,6304843
2024-04-29,113.04,113.88,110.34,112.08,7169209
2024-04-30,112,112.04,110.8,111.1,8156575
2024-05-01,111.29,111.99,110.21,110.48,6346109
2024-05-02,111.43,112.87,110.56,112.62,6799805
2024-05-03,113.54,114.11,112.7996,113.66,7411112
2024-05-06,114.8,116.94,114.15,116.47,16303234
2024-05-07,107.25,107.88,104.21,105.39,55084617
2024-05-08,104.9,106.48,104.44,105.44,15238111
2024-05-09,104.62,106.13,104.39,105.8,15095970
2024-05-10,106.92,107.02,105.42,105.79,15884574
2024-05-13,105.59,106.6408,105.59,105.83,9666409
2024-05-14,105.3,105.99,104.95,105.35,11278423
2024-05-15,105.62,105.88,101.39,102.77,20745621
2024-05-16,103.04,104.03,102.84,103.37,9476686
2024-05-17,103.63,103.82,103.04,103.25,7355999
2024-05-20,103.33,103.67,102.52,102.9,7667435
2024-05-21,102.99,103.6999,102.72,103.01,7333306
2024-05-22,102.98,103.83,102.745,103.02,7190343
2024-05-23,102.98,103.01,100.27,100.66,10503993
2024-05-24,100.85,102.09,100.69,101.76,6451579
2024-05-28,101.36,102.8599,100.945,102.44,7813094
2024-05-29,101.76,102.08,100.77,100.88,7376258
2024-05-30,101.135,102.07,100.97,101.7,7303708
2024-05-31,101.52,104.08,101.41,103.91,14735791
2024-06-03,104.17,104.22,102.48,102.77,6908604
2024-06-04,102.105,103.49,101.63,103.33,7269109
2024-06-05,103,103.08,101.0299,101.5,10796877
